total bytes,data bytes,header bytes,runtime,
10860,10240,620,0.02031111717224121,
10860,10240,620,0.021935224533081055,
10860,10240,620,0.015938997268676758,
10860,10240,620,0.011670827865600586,
10860,10240,620,0.011805057525634766,
10860,10240,620,0.013369083404541016,
10860,10240,620,0.012162923812866211,
10860,10240,620,0.011981010437011719,
10860,10240,620,0.012336015701293945,
10860,10240,620,0.012714862823486328,
10860,10240,620,0.012769937515258789,
10860,10240,620,0.013873815536499023,
10860,10240,620,0.013762950897216797,
10860,10240,620,0.012378931045532227,
10860,10240,620,0.013533830642700195,
10860,10240,620,0.013628959655761719,
10860,10240,620,0.012356996536254883,
10860,10240,620,0.013230085372924805,
10860,10240,620,0.011254072189331055,
10860,10240,620,0.012688159942626953,
10860,10240,620,0.017187118530273438,
10860,10240,620,0.017323970794677734,
10860,10240,620,0.015915870666503906,
10860,10240,620,0.013931989669799805,
10860,10240,620,0.0128631591796875,
10860,10240,620,0.017838001251220703,
10860,10240,620,0.012000083923339844,
10860,10240,620,0.013883829116821289,
10860,10240,620,0.012920856475830078,
10860,10240,620,0.013292074203491211,
10860,10240,620,0.013076066970825195,
10860,10240,620,0.01306009292602539,
10860,10240,620,0.013303995132446289,
10860,10240,620,0.011906147003173828,
10860,10240,620,0.013295888900756836,
10860,10240,620,0.012689828872680664,
10860,10240,620,0.012341976165771484,
10860,10240,620,0.013767004013061523,
10860,10240,620,0.012752056121826172,
10860,10240,620,0.012179851531982422,
10860,10240,620,0.012917041778564453,
10860,10240,620,0.015197038650512695,
10860,10240,620,0.021188974380493164,
10860,10240,620,0.020679950714111328,
10860,10240,620,0.0225830078125,
10860,10240,620,0.019788026809692383,
10860,10240,620,0.021381855010986328,
10860,10240,620,0.020437955856323242,
10860,10240,620,0.02136516571044922,
10860,10240,620,0.01650691032409668,
10860,10240,620,0.019138097763061523,
10860,10240,620,0.01648998260498047,
10860,10240,620,0.01958298683166504,
10860,10240,620,0.01249384880065918,
10860,10240,620,0.011456966400146484,
10860,10240,620,0.012293815612792969,
10860,10240,620,0.013823986053466797,
10860,10240,620,0.012038946151733398,
10860,10240,620,0.01566910743713379,
10860,10240,620,0.019201040267944336,
10860,10240,620,0.01929616928100586,
10860,10240,620,0.018275976181030273,
10860,10240,620,0.02110886573791504,
10860,10240,620,0.02260303497314453,
10860,10240,620,0.02326202392578125,
10860,10240,620,0.0169830322265625,
10860,10240,620,0.0187990665435791,
10860,10240,620,0.02086615562438965,
10860,10240,620,0.02196788787841797,
10860,10240,620,0.017501115798950195,
10860,10240,620,0.014256000518798828,
10860,10240,620,0.013550043106079102,
10860,10240,620,0.015383005142211914,
10860,10240,620,0.022259950637817383,
10860,10240,620,0.02164912223815918,
10860,10240,620,0.013643026351928711,
10860,10240,620,0.011531829833984375,
10860,10240,620,0.014045000076293945,
10860,10240,620,0.011859893798828125,
10860,10240,620,0.013788938522338867,
10860,10240,620,0.013013124465942383,
10860,10240,620,0.012292861938476562,
10860,10240,620,0.013045787811279297,
10860,10240,620,0.013242959976196289,
10860,10240,620,0.012924909591674805,
10860,10240,620,0.013653993606567383,
10860,10240,620,0.014222145080566406,
10860,10240,620,0.015617132186889648,
10860,10240,620,0.019590139389038086,
10860,10240,620,0.016463041305541992,
10860,10240,620,0.014894962310791016,
10860,10240,620,0.011662006378173828,
10860,10240,620,0.012730121612548828,
10860,10240,620,0.013484001159667969,
10860,10240,620,0.013456106185913086,
10860,10240,620,0.015668153762817383,
10860,10240,620,0.015168905258178711,
10860,10240,620,0.013147115707397461,
10860,10240,620,0.024745941162109375,
