runtime,header bytes, body bytes
0.004026174545288086,115,10240,
0.008952140808105469,115,10240,
0.0037021636962890625,115,10240,
0.004242897033691406,115,10240,
0.004419803619384766,115,10240,
0.003940105438232422,115,10240,
0.0036478042602539062,115,10240,
0.007855892181396484,115,10240,
0.004063129425048828,115,10240,
0.004022121429443359,115,10240,
0.003782987594604492,115,10240,
0.003988027572631836,115,10240,
0.0034711360931396484,115,10240,
0.003931999206542969,115,10240,
0.0036568641662597656,115,10240,
0.0038928985595703125,115,10240,
0.004102945327758789,115,10240,
0.0033321380615234375,115,10240,
0.004356861114501953,115,10240,
0.004374027252197266,115,10240,
0.0039501190185546875,115,10240,
0.006134986877441406,115,10240,
0.00434422492980957,115,10240,
0.003996849060058594,115,10240,
0.003823995590209961,115,10240,
0.003813028335571289,115,10240,
0.0038878917694091797,115,10240,
0.0038101673126220703,115,10240,
0.003856182098388672,115,10240,
0.0036716461181640625,115,10240,
0.003607034683227539,115,10240,
0.0037431716918945312,115,10240,
0.0038459300994873047,115,10240,
0.003355741500854492,115,10240,
0.0034918785095214844,115,10240,
0.0035257339477539062,115,10240,
0.04414677619934082,115,10240,
0.0026590824127197266,115,10240,
0.0019450187683105469,115,10240,
0.0020210742950439453,115,10240,
0.0024559497833251953,115,10240,
0.003158092498779297,115,10240,
0.0024688243865966797,115,10240,
0.00225830078125,115,10240,
0.0014379024505615234,115,10240,
0.001425027847290039,115,10240,
0.0014348030090332031,115,10240,
0.0020427703857421875,115,10240,
0.0029850006103515625,115,10240,
0.0020890235900878906,115,10240,
0.0017490386962890625,115,10240,
0.0015130043029785156,115,10240,
0.0014781951904296875,115,10240,
0.0014119148254394531,115,10240,
0.0015060901641845703,115,10240,
0.002125978469848633,115,10240,
0.0014851093292236328,115,10240,
0.0013172626495361328,115,10240,
0.0013151168823242188,115,10240,
0.0012438297271728516,115,10240,
0.0013170242309570312,115,10240,
0.0013210773468017578,115,10240,
0.001262664794921875,115,10240,
0.0013530254364013672,115,10240,
0.0013260841369628906,115,10240,
0.0013229846954345703,115,10240,
0.0014081001281738281,115,10240,
0.0013759136199951172,115,10240,
0.0013740062713623047,115,10240,
0.0015480518341064453,115,10240,
0.00139617919921875,115,10240,
0.006385087966918945,115,10240,
0.0016121864318847656,115,10240,
0.0013611316680908203,115,10240,
0.001352071762084961,115,10240,
0.0012950897216796875,115,10240,
0.0012679100036621094,115,10240,
0.001352071762084961,115,10240,
0.0013599395751953125,115,10240,
0.0013082027435302734,115,10240,
0.0012040138244628906,115,10240,
0.0012359619140625,115,10240,
0.0012669563293457031,115,10240,
0.0011980533599853516,115,10240,
0.0011849403381347656,115,10240,
0.0011799335479736328,115,10240,
0.0012340545654296875,115,10240,
0.0011589527130126953,115,10240,
0.0011782646179199219,115,10240,
0.0011892318725585938,115,10240,
0.001138925552368164,115,10240,
0.0011551380157470703,115,10240,
0.0011518001556396484,115,10240,
0.0011332035064697266,115,10240,
0.00115203857421875,115,10240,
0.0011501312255859375,115,10240,
0.0011382102966308594,115,10240,
0.0011363029479980469,115,10240,
0.0011169910430908203,115,10240,
0.0012738704681396484,115,10240,
0.0011379718780517578,115,10240,
0.001107931137084961,115,10240,
0.0011339187622070312,115,10240,
0.0011000633239746094,115,10240,
0.02270817756652832,115,10240,
0.002549886703491211,115,10240,
0.0023632049560546875,115,10240,
0.002110004425048828,115,10240,
0.0021331310272216797,115,10240,
0.0020492076873779297,115,10240,
0.0021300315856933594,115,10240,
0.0022919178009033203,115,10240,
0.002073049545288086,115,10240,
0.0021109580993652344,115,10240,
0.0021648406982421875,115,10240,
0.0018858909606933594,115,10240,
0.0018112659454345703,115,10240,
0.0016179084777832031,115,10240,
0.0015189647674560547,115,10240,
0.001367807388305664,115,10240,
0.00152587890625,115,10240,
0.0013489723205566406,115,10240,
0.0013229846954345703,115,10240,
0.0015461444854736328,115,10240,
0.0014100074768066406,115,10240,
0.0017619132995605469,115,10240,
0.0013051033020019531,115,10240,
0.0012507438659667969,115,10240,
0.00164794921875,115,10240,
0.0015420913696289062,115,10240,
0.0014300346374511719,115,10240,
0.0014140605926513672,115,10240,
0.0015370845794677734,115,10240,
0.0016908645629882812,115,10240,
0.001622915267944336,115,10240,
0.0015850067138671875,115,10240,
0.0017421245574951172,115,10240,
0.0015430450439453125,115,10240,
