runtime,header bytes, body bytes
0.023380279541015625,161,100,
0.02172112464904785,161,100,
0.013688087463378906,161,100,
0.021722793579101562,161,100,
0.016276121139526367,161,100,
0.01384115219116211,161,100,
0.014440059661865234,161,100,
0.01686382293701172,161,100,
0.014417171478271484,161,100,
0.013584136962890625,161,100,
0.02730584144592285,161,100,
0.025831937789916992,161,100,
0.015163183212280273,161,100,
0.024962186813354492,161,100,
0.015088081359863281,161,100,
0.016408205032348633,161,100,
0.014322042465209961,161,100,
0.01677107810974121,161,100,
0.017590045928955078,161,100,
0.01596379280090332,161,100,
0.022681236267089844,161,100,
0.013178825378417969,161,100,
0.014338016510009766,161,100,
0.013944864273071289,161,100,
0.020866870880126953,161,100,
0.01432490348815918,161,100,
0.015597820281982422,161,100,
0.020451784133911133,161,100,
0.014188051223754883,161,100,
0.016388893127441406,161,100,
0.014229059219360352,161,100,
0.018311262130737305,161,100,
0.015152931213378906,161,100,
0.014140129089355469,161,100,
0.01633000373840332,161,100,
0.015206098556518555,161,100,
0.015982866287231445,161,100,
0.014448881149291992,161,100,
0.017853975296020508,161,100,
0.02471613883972168,161,100,
0.019137144088745117,161,100,
0.013595104217529297,161,100,
0.01429605484008789,161,100,
0.018128156661987305,161,100,
0.014081954956054688,161,100,
0.021437883377075195,161,100,
0.016060829162597656,161,100,
0.021049022674560547,161,100,
0.015860795974731445,161,100,
0.01632976531982422,161,100,
0.016202926635742188,161,100,
0.013521909713745117,161,100,
0.016112089157104492,161,100,
0.012850761413574219,161,100,
0.025975942611694336,161,100,
0.014493227005004883,161,100,
0.017344951629638672,161,100,
0.013994932174682617,161,100,
0.014321088790893555,161,100,
0.014752864837646484,161,100,
0.014750957489013672,161,100,
0.01607513427734375,161,100,
0.014243841171264648,161,100,
0.028228282928466797,161,100,
0.01739215850830078,161,100,
0.013094186782836914,161,100,
0.015870094299316406,161,100,
0.01885080337524414,161,100,
0.018754959106445312,161,100,
0.012179851531982422,161,100,
0.015551090240478516,161,100,
0.013358116149902344,161,100,
0.01482391357421875,161,100,
0.01597118377685547,161,100,
0.016443967819213867,161,100,
0.017813920974731445,161,100,
0.014382123947143555,161,100,
0.015479803085327148,161,100,
0.017877817153930664,161,100,
0.0164029598236084,161,100,
0.01373600959777832,161,100,
0.013854026794433594,161,100,
0.01665472984313965,161,100,
0.017042875289916992,161,100,
0.013987064361572266,161,100,
0.022233009338378906,161,100,
0.026070117950439453,161,100,
0.013222217559814453,161,100,
0.020390033721923828,161,100,
0.012576103210449219,161,100,
0.020087003707885742,161,100,
0.012742042541503906,161,100,
0.01685500144958496,161,100,
0.01506805419921875,161,100,
0.012617826461791992,161,100,
0.016975879669189453,161,100,
0.01616692543029785,161,100,
0.01706719398498535,161,100,
0.01443934440612793,161,100,
0.025648832321166992,161,100,
0.021279096603393555,161,100,
0.013273954391479492,161,100,
0.014067888259887695,161,100,
0.013455867767333984,161,100,
0.016122102737426758,161,100,
0.014132022857666016,161,100,
0.017349958419799805,161,100,
0.017066001892089844,161,100,
0.02012801170349121,161,100,
0.012716054916381836,161,100,
0.027323007583618164,161,100,
0.026911020278930664,161,100,
0.02765798568725586,161,100,
0.015297174453735352,161,100,
0.015141010284423828,161,100,
0.029185056686401367,161,100,
0.01750922203063965,161,100,
0.021657943725585938,161,100,
0.014348030090332031,161,100,
0.019971847534179688,161,100,
0.013994932174682617,161,100,
