runtime,header bytes, body bytes
0.028979778289794922,163,10252,
2.0689101219177246,163,10252,
0.1315460205078125,163,10252,
0.023185014724731445,163,10252,
0.1383509635925293,163,10252,
0.02571892738342285,163,10252,
0.023408174514770508,163,10252,
0.020006895065307617,163,10252,
0.01977992057800293,163,10252,
0.017998218536376953,163,10252,
0.018555879592895508,163,10252,
0.01830601692199707,163,10252,
0.021387815475463867,163,10252,
0.021831035614013672,163,10252,
0.019646883010864258,163,10252,
0.022611379623413086,163,10252,
0.019613981246948242,163,10252,
0.020543813705444336,163,10252,
1.0233869552612305,163,10252,
0.019689321517944336,163,10252,
0.019051074981689453,163,10252,
0.02108025550842285,163,10252,
0.020875215530395508,163,10252,
0.02028179168701172,163,10252,
0.017961978912353516,163,10252,
0.02645421028137207,163,10252,
0.018594980239868164,163,10252,
0.030853986740112305,163,10252,
0.027597904205322266,163,10252,
0.01822519302368164,163,10252,
0.018912076950073242,163,10252,
1.1364719867706299,163,10252,
0.032427072525024414,163,10252,
0.027198076248168945,163,10252,
0.023492813110351562,163,10252,
0.01887679100036621,163,10252,
0.02099466323852539,163,10252,
0.02064824104309082,163,10252,
0.020860910415649414,163,10252,
0.13191986083984375,163,10252,
0.021259784698486328,163,10252,
0.025928020477294922,163,10252,
0.020756006240844727,163,10252,
0.02177119255065918,163,10252,
0.020535945892333984,163,10252,
0.02002716064453125,163,10252,
0.019669055938720703,163,10252,
0.030269145965576172,163,10252,
0.019894123077392578,163,10252,
0.021628856658935547,163,10252,
0.018471240997314453,163,10252,
0.02145695686340332,163,10252,
0.02205681800842285,163,10252,
0.01995110511779785,163,10252,
0.018920183181762695,163,10252,
1.0315799713134766,163,10252,
0.027943849563598633,163,10252,
0.028849124908447266,163,10252,
0.02313685417175293,163,10252,
0.040361881256103516,163,10252,
0.051687002182006836,163,10252,
0.060092926025390625,163,10252,
0.023555994033813477,163,10252,
0.03981471061706543,163,10252,
0.023394107818603516,163,10252,
0.036881208419799805,163,10252,
0.0312192440032959,163,10252,
0.03203582763671875,163,10252,
0.04125404357910156,163,10252,
0.02258586883544922,163,10252,
0.03364682197570801,163,10252,
0.030279159545898438,163,10252,
0.21032333374023438,163,10252,
0.029799938201904297,163,10252,
0.0219419002532959,163,10252,
0.027812957763671875,163,10252,
0.02941107749938965,163,10252,
0.01933598518371582,163,10252,
0.030585050582885742,163,10252,
0.02474498748779297,163,10252,
0.03552818298339844,163,10252,
0.034030914306640625,163,10252,
