runtime,header bytes, body bytes
0.0023241043090820312,113,100,
0.0015749931335449219,113,100,
0.002068042755126953,113,100,
0.0016620159149169922,113,100,
0.0020041465759277344,113,100,
0.0021889209747314453,113,100,
0.0019249916076660156,113,100,
0.001852273941040039,113,100,
0.0018270015716552734,113,100,
0.002593994140625,113,100,
0.0023949146270751953,113,100,
0.0013189315795898438,113,100,
0.003584146499633789,113,100,
0.0037550926208496094,113,100,
0.0031769275665283203,113,100,
0.004858732223510742,113,100,
0.003962039947509766,113,100,
0.004018306732177734,113,100,
0.0035860538482666016,113,100,
0.0040361881256103516,113,100,
0.003675222396850586,113,100,
0.004030942916870117,113,100,
0.0036869049072265625,113,100,
0.003863096237182617,113,100,
0.003896951675415039,113,100,
0.003831148147583008,113,100,
0.0031151771545410156,113,100,
0.01919102668762207,113,100,
0.0039899349212646484,113,100,
0.004526853561401367,113,100,
0.0035800933837890625,113,100,
0.003350973129272461,113,100,
0.004575967788696289,113,100,
0.00356292724609375,113,100,
0.0035169124603271484,113,100,
0.004817962646484375,113,100,
0.003595113754272461,113,100,
0.004727840423583984,113,100,
0.0035028457641601562,113,100,
0.0035622119903564453,113,100,
0.004337787628173828,113,100,
0.0034072399139404297,113,100,
0.003676176071166992,113,100,
0.0031938552856445312,113,100,
0.0032739639282226562,113,100,
0.0033452510833740234,113,100,
0.002711057662963867,113,100,
0.001772165298461914,113,100,
0.0013861656188964844,113,100,
0.0014510154724121094,113,100,
0.0014777183532714844,113,100,
0.0012590885162353516,113,100,
0.0016281604766845703,113,100,
0.0013620853424072266,113,100,
0.0013990402221679688,113,100,
0.0013918876647949219,113,100,
0.0013070106506347656,113,100,
0.0014483928680419922,113,100,
0.04062485694885254,113,100,
0.002468109130859375,113,100,
0.0016067028045654297,113,100,
0.001538991928100586,113,100,
0.0019910335540771484,113,100,
0.001737833023071289,113,100,
0.0014793872833251953,113,100,
0.0012590885162353516,113,100,
0.0012979507446289062,113,100,
0.0017008781433105469,113,100,
0.0017268657684326172,113,100,
0.001750946044921875,113,100,
0.0016367435455322266,113,100,
0.0014119148254394531,113,100,
