# packets,total bytes,data bytes,header bytes, runtime,
728,1096936,1048576,48360,0.251664,
728,1096936,1048576,48360,0.242645,
728,1096936,1048576,48360,0.2028080000000001,
728,1096936,1048576,48360,0.19697900000000002,
728,1096936,1048576,48360,0.20427800000000007,
728,1096936,1048576,48360,0.14637100000000003,
728,1096936,1048576,48360,0.18159999999999998,
728,1096936,1048576,48360,0.17064599999999985,
728,1096936,1048576,48360,0.17491900000000005,
728,1096936,1048576,48360,0.1850949999999998,
729,1097002,1048576,48426,0.16861499999999996,
729,1097002,1048576,48426,0.1465639999999997,
728,1096936,1048576,48360,0.34707299999999996,
729,1097002,1048576,48426,0.3359199999999998,
728,1096936,1048576,48360,0.2840480000000003,
729,1097002,1048576,48426,0.19001499999999982,
729,1097002,1048576,48426,0.17083200000000032,
730,1097068,1048576,48492,0.17460599999999982,
728,1096936,1048576,48360,0.14867399999999975,
728,1096936,1048576,48360,0.14753300000000014,
728,1096936,1048576,48360,0.17281700000000022,
728,1096936,1048576,48360,0.15622200000000053,
728,1096936,1048576,48360,0.20618400000000037,
729,1097002,1048576,48426,0.1747519999999998,
728,1096936,1048576,48360,0.17600200000000044,
728,1096936,1048576,48360,0.17832200000000054,
728,1096936,1048576,48360,0.18176900000000007,
728,1096936,1048576,48360,0.19194400000000034,
728,1096936,1048576,48360,0.15870599999999957,
730,1097068,1048576,48492,0.16664299999999965,
728,1096936,1048576,48360,0.14926500000000065,
729,1097002,1048576,48426,0.15597700000000003,
729,1097002,1048576,48426,0.14554399999999923,
728,1096936,1048576,48360,0.16823099999999958,
729,1097002,1048576,48426,0.17563399999999962,
728,1096936,1048576,48360,0.1703259999999993,
728,1096936,1048576,48360,0.22799700000000023,
728,1096936,1048576,48360,0.15689399999999942,
728,1096936,1048576,48360,0.15337399999999946,
729,1097002,1048576,48426,0.14630800000000033,
728,1096936,1048576,48360,0.16323000000000043,
729,1097002,1048576,48426,0.1527700000000003,
728,1096936,1048576,48360,0.1537349999999993,
729,1097002,1048576,48426,0.14841100000000118,
728,1096936,1048576,48360,0.1482070000000011,
728,1096936,1048576,48360,0.16541400000000017,
729,1097002,1048576,48426,0.20311199999999907,
728,1096936,1048576,48360,0.19588599999999978,
728,1096936,1048576,48360,0.16915000000000013,
729,1097002,1048576,48426,0.1864800000000013,
729,1097002,1048576,48426,0.1441429999999997,
729,1097030,1048576,48454,0.16051199999999888,
728,1096936,1048576,48360,0.16709400000000052,
728,1096936,1048576,48360,0.17230799999999924,
729,1097002,1048576,48426,0.14848799999999862,
729,1096982,1048576,48406,0.17259199999999986,
729,1097002,1048576,48426,0.1906630000000007,
728,1096936,1048576,48360,0.31913400000000003,
729,1097002,1048576,48426,0.7214910000000003,
728,1096936,1048576,48360,0.49523799999999873,
728,1096936,1048576,48360,0.297543000000001,
729,1097002,1048576,48426,0.1712959999999999,
729,1097002,1048576,48426,0.18601300000000087,
728,1096936,1048576,48360,0.22974400000000017,
728,1096936,1048576,48360,0.14870800000000095,
728,1096936,1048576,48360,0.17975200000000058,
728,1096936,1048576,48360,0.1464730000000003,
729,1097002,1048576,48426,0.14503800000000133,
728,1096936,1048576,48360,0.15069599999999994,
728,1096936,1048576,48360,0.27344800000000014,
729,1097002,1048576,48426,0.4265050000000006,
728,1096936,1048576,48360,0.40085800000000127,
729,1097002,1048576,48426,0.22195500000000123,
728,1096936,1048576,48360,0.22554300000000005,
728,1096936,1048576,48360,0.16436099999999954,
730,1097068,1048576,48492,0.15326200000000156,
729,1097002,1048576,48426,0.15851800000000082,
729,1097002,1048576,48426,0.1561559999999993,
728,1096936,1048576,48360,0.167898000000001,
728,1096936,1048576,48360,0.2007879999999993,
729,1097002,1048576,48426,0.18943900000000014,
728,1096936,1048576,48360,0.15439199999999786,
728,1096936,1048576,48360,0.1682370000000013,
729,1097002,1048576,48426,0.1620560000000033,
729,1097002,1048576,48426,0.14970900000000142,
728,1096936,1048576,48360,0.16615799999999936,
728,1096936,1048576,48360,0.15748400000000018,
728,1096936,1048576,48360,0.16458700000000093,
728,1096936,1048576,48360,0.1670829999999981,
728,1096936,1048576,48360,0.17012300000000025,
728,1096936,1048576,48360,0.16330100000000058,
728,1096936,1048576,48360,0.16066100000000105,
729,1097002,1048576,48426,0.16221300000000127,
728,1096936,1048576,48360,0.1543309999999991,
728,1096936,1048576,48360,0.1583199999999998,
729,1097002,1048576,48426,0.17107599999999934,
729,1097002,1048576,48426,0.1671270000000007,
728,1096936,1048576,48360,0.14910000000000068,
729,1097002,1048576,48426,0.2325090000000003,
728,1096936,1048576,48360,0.26935200000000137,
